idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,tilt_start,tilt_end,tilt_max,tilt_open,d_open,blocked,pinned
13,DONE_OK,,40,1,0.5161,1.031,0.1573,0.8701,3,2.572,0.0423,56.2,53.5,56.45,53.46,0.0023,0,0
14,DONE_OK,,34,1,0.3776,0.928,0.1552,1.1045,3,2.3585,0.5393,51.96,50.63,52.28,50.56,0.0019,0,0
15,DONE_OK,,54,1,0.6157,1.035,0.1513,0.3832,3,1.9332,0.0698,41.32,39.42,45.3,39.64,0.0018,0,0
16,DONE_OK,,43,1,0.4839,0.947,0.1723,0.6135,3,2.4088,0.4163,53.41,50.5,54.12,48.65,0.024,0,0
17,DONE_OK,,19,1,0.2425,1.125,0.1418,0.4729,5,3.2796,0.0125,44.71,49.52,49.52,49.52,0.0061,0,0
18,DONE_OK,,19,1,0.2428,1.125,0.1671,0.4401,5,3.3124,0.0121,62.8,69.55,69.55,68.55,0.0198,0,0
19,DONE_OK,,28,1,0.3493,1.1,0.1416,0.2239,5,3.5286,0.008,57.8,67.28,67.33,66.66,0.0241,0,0
20,DONE_OK,,43,1,0.5425,1.047,0.1505,0.7218,3,2.0967,0.3374,37.63,36.75,40.05,34.68,0.0231,0,0
21,DONE_OK,,32,1,0.3586,0.958,0.1687,0.7654,3,2.3991,0.6154,54.27,50.89,55.58,51.09,0.0023,0,0
22,DONE_OK,,47,1,0.536,0.931,0.1602,0.7909,3,2.4013,0.2816,57.04,53.52,57.96,53.66,0.0025,0,0
23,DONE_OK,,54,1,0.5673,0.912,0.1616,0.8055,3,2.4862,0.0746,56.96,55.74,58.37,55.55,0.0028,0,0
24,DONE_OK,,42,1,0.5306,1.031,0.151,0.9435,3,2.1302,0.4425,32.36,30.15,32.73,30.01,0.0025,0,0
25,DONE_OK,,43,1,0.5165,1.014,0.147,0.8337,3,2.1519,0.4591,45.33,44.89,45.74,44.0,0.0209,0,0
26,DONE_OK,,40,1,0.5157,1.073,0.1524,1.2235,3,2.2337,0.4053,23.28,23.78,24.83,23.81,0.0026,0,0
27,DONE_OK,,5,1,0.0532,1.126,0.1381,0.0991,5,3.6534,0.0122,55.91,56.96,56.96,56.09,0.0102,0,0
28,DONE_OK,,54,1,0.6122,1.062,0.1527,-0.0002,3,2.0434,-0.0061,44.0,45.54,52.75,43.97,0.0297,0,0
29,DONE_OK,,55,1,0.6272,1.075,0.1452,-0.0,3,2.0336,-0.01,54.8,57.96,65.52,56.65,0.0266,0,0
30,DONE_OK,,36,1,0.5728,1.059,0.1646,-0.0003,1,3.3954,-0.013,62.3,80.54,80.54,74.51,0.0315,0,0
31,DONE_OK,,58,1,0.5796,0.953,0.1489,0.2717,3,1.9436,0.0463,63.79,61.01,67.76,59.67,0.0516,0,0
32,DONE_OK,,47,1,0.595,1.024,0.1539,0.7449,3,2.1729,0.3114,42.0,40.43,42.65,40.29,0.0027,0,0
33,DONE_OK,,36,1,0.4286,1.005,0.1542,0.8733,3,2.3751,0.4151,51.78,51.12,52.31,50.68,0.0027,0,0
34,DONE_OK,,14,1,0.1811,1.126,0.1337,0.3585,5,3.394,0.0151,41.17,43.34,43.34,43.27,0.012,0,0
35,DONE_OK,,55,1,0.5958,1.0,0.1488,0.4492,3,1.9083,0.06,48.28,44.82,51.64,44.92,0.0021,0,0
36,DONE_FAIL,RETRACT,31,1,0.5697,1.084,0.1495,-0.0003,3,3.4314,-0.0077,75.75,85.54,85.54,84.59,0.1725,0,0
