idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,tilt_start,tilt_end,tilt_max,tilt_open,d_open,blocked,pinned
13,DONE_OK,,6,1,0.0786,1.126,0.1382,-0.0001,5,3.7526,-0.0003,56.26,61.36,61.36,62.49,0.0098,0,0
14,DONE_OK,,45,1,0.5847,1.035,0.1568,0.6054,3,2.2803,0.0837,51.27,50.02,51.3,48.22,0.0217,0,0
15,DONE_OK,,31,1,0.3875,1.04,0.162,0.9926,3,2.3493,0.4199,46.59,45.87,46.97,45.63,0.0022,0,0
16,DONE_OK,,10,1,0.1213,1.126,0.1399,0.1596,5,3.5929,0.0035,48.22,50.87,50.87,49.49,0.0173,0,0
17,DONE_OK,,13,1,0.1678,1.125,0.1387,0.5049,5,3.2476,0.1316,40.56,40.16,40.89,39.87,0.0076,0,0
18,DONE_OK,,23,1,0.2502,1.126,0.1477,0.3613,5,3.3912,0.0057,46.33,48.9,48.9,44.91,0.0234,0,0
19,DONE_OK,,60,1,0.6278,1.009,0.1497,0.783,3,2.0336,0.5327,40.23,41.23,41.72,40.2,0.0018,0,0
20,DONE_OK,,12,1,0.1462,1.126,0.1358,0.1613,5,3.5912,0.0017,48.1,51.82,51.82,49.79,0.0172,0,0
21,DONE_OK,,51,1,0.5637,0.904,0.1568,0.8267,3,2.1225,0.3776,46.66,44.83,47.01,44.67,0.0022,0,0
22,DONE_OK,,50,1,0.6296,1.013,0.1495,0.9056,3,2.14,0.4268,37.82,38.45,38.45,37.87,0.0021,0,0
23,DONE_OK,,42,1,0.5427,1.031,0.1462,0.8472,3,2.6391,0.0149,64.27,64.37,64.48,64.23,0.0021,0,0
24,DONE_OK,,51,1,0.5727,0.922,0.1602,0.9367,3,2.3044,0.4557,41.09,41.93,42.14,41.15,0.0023,0,0
25,DONE_OK,,52,1,0.5514,0.903,0.1564,1.0085,3,2.4856,0.2507,64.67,63.09,64.72,63.86,0.0018,0,0
26,DONE_OK,,51,1,0.6614,1.054,0.1508,0.378,3,2.1129,0.0406,44.17,42.81,44.44,40.06,0.0239,0,0
27,DONE_OK,,52,1,0.6172,1.056,0.1363,0.6268,6,2.2111,0.067,39.77,38.23,40.61,39.04,0.0019,0,0
28,DONE_OK,,47,1,0.6214,1.031,0.1473,0.8852,3,2.1844,0.4324,40.23,40.34,40.66,40.33,0.0024,0,0
29,DONE_OK,,30,1,0.3542,0.985,0.1601,1.1778,3,2.5023,0.3944,54.32,53.53,54.64,53.16,0.0021,0,0
30,DONE_OK,,25,1,0.2979,1.121,0.1546,-0.0073,6,3.5675,-0.0073,50.77,56.6,56.6,52.57,0.0157,0,0
31,DONE_OK,,19,1,0.2547,1.125,0.1725,0.8002,5,2.9523,0.1806,51.6,49.34,51.7,49.7,0.0021,0,0
32,DONE_OK,,6,1,0.0748,1.126,0.1369,0.0011,5,3.7514,-0.0002,55.48,60.04,60.04,60.65,0.0194,0,0
33,DONE_OK,,54,1,0.6236,1.017,0.1447,0.3634,3,1.7342,0.3634,39.9,40.59,40.59,38.44,0.0041,0,0
