episode,reason,success,handoff_attempts,place_steps,rel_yaw,eef_yaw,obj_yaw,off_x,off_y,off_z,off_xy,obj_z
25,success,1,1,40,-18.78177681654397,-27.19943206095816,-45.981208877502134,0.005261271128662517,-0.0013543199972225412,0.012584697231391847,0.0054327853394161105,1.0349641918946988
26,timeout_dropped,0,1,300,-65.32645804876505,41.23260422983266,-24.093853818932395,0.020954675057252306,0.016649023345157846,0.02608715590531695,0.02676356450666919,0.9619068407334276
27,success,1,1,17,-81.18580308417509,12.350712042749969,111.16490895857488,-0.0013265219656329208,0.0035190279807355033,0.0035446696845472447,0.003760747060692333,0.9171084789061792
28,success,1,5,92,-23.88213952236378,-69.02173421688647,-92.90387373925024,0.013757886314961984,0.003011350260640786,0.01190192566914792,0.014083595643431387,1.0442565547304552
29,success,1,1,20,34.44524446168445,-11.26136961153519,-156.81612514985073,-0.009036984268455865,0.008909628702522458,0.0022755678905720866,0.012690491254680837,0.9162322933070568
30,success,1,1,26,-69.87010572328091,-33.27990669495855,-103.15001241823946,0.0032613458495444033,0.0009472540640210493,0.0007836007122799817,0.003396125293940861,1.0261485967737902
31,success,1,2,65,27.97369248551972,-4.7336044474465995,23.24008803807312,-0.0022834406129436224,-0.008904502551119964,0.016233593165896815,0.0091926202312367,0.9778739701897912
32,release_miss,0,1,38,-87.59800746916122,-25.59893204631936,-113.19693951548058,-0.011426125635533597,0.006170374399823372,0.003941198893921138,0.012985756322717352,0.9122312394856932
33,success,1,2,58,-29.222718264432206,-30.75032364343368,-59.973041907865884,-0.010644325946746134,0.0008108531390170729,0.0003701925906293862,0.010675165463524526,0.9774061619646353
34,timeout_dropped,0,2,300,-49.5258412103227,6.593257687033113,-42.932583523289594,0.009347744353554354,-0.0014806241668586049,0.016265959640856573,0.009464278758727103,1.0334534901447605
35,timeout_dropped,0,2,300,67.14780914222175,-27.42070804421672,-140.27289890199495,-0.025912295127557508,0.002317396222551983,0.0071020846227291,0.02601571379051397,0.9329742535672649
36,success,1,1,85,-81.85189551510277,-25.824769707463687,72.32333477743353,-0.010711936483673511,-0.011272543647314386,0.008441926370343888,0.015550428402808186,0.9381044444631057
