episode,seed,profile,tag,axis,sign,grasp_ok,lift_ok,survived,lost_at,diag_deg,off_xy0,drift,rise,margin_hand,joint_hand,grasp_step
14,31,jerk,int8_jerkhard,1,1.0,1,1,1,-1,5.945041231578031,0.006953706748716099,0.0067401652511214225,0.12910072393993732,0.9221790535464822,1,28
15,31,jerk,int8_jerkhard,1,-1.0,1,1,1,-1,12.080292559109182,0.004126378178962699,0.0019119593223488286,0.21025874588538707,0.0019504572459050351,5,27
16,31,jerk,int8_jerkhard,0,1.0,1,1,1,-1,29.447893604606634,0.002136712475335399,0.003080216989294875,0.2447705759117177,-2.900257328919409e-05,5,25
17,31,jerk,int8_jerkhard,0,-1.0,1,1,1,-1,6.147320877157533,0.020102546558885298,0.0048935779094274445,0.17389618429749176,-0.0003218782958160915,5,26
18,31,jerk,int8_jerkhard,1,1.0,1,1,1,-1,12.591115731607232,0.00462096493571311,0.0040554006372589685,0.18984393114140052,-0.00026816413162888963,5,29
19,31,jerk,int8_jerkhard,1,-1.0,1,1,1,-1,44.99739113405377,0.009659054755183047,0.011517870000904437,0.1549890209048792,0.0025023659979863666,5,30
20,31,jerk,int8_jerkhard,0,1.0,1,1,1,-1,12.517182708782585,0.007501158900080036,0.010569956047254777,0.17899542998382711,-0.0001542247280506004,5,28
21,31,jerk,int8_jerkhard,0,-1.0,1,1,1,-1,29.625849889709727,0.0094220060707315,0.0012975432254999388,0.1435487399624863,0.25661094835228004,5,29
22,31,jerk,int8_jerkhard,1,1.0,1,1,1,-1,38.620398841495245,0.0036282380449487216,0.003782144647692275,0.1273788766599816,0.28957652529775046,5,27
23,31,jerk,int8_jerkhard,1,-1.0,1,1,1,-1,4.918750698440121,0.016573507956892834,0.00375927967719552,0.1370351776978338,0.6244119836687867,5,58
24,31,jerk,int8_jerkhard,0,1.0,1,1,0,42,27.259092226841318,0.0007024604157796974,,0.22056408615676937,0.2805351158093181,6,185
25,31,jerk,int8_jerkhard,0,-1.0,1,0,0,-1,41.19919304828065,0.025250165273716412,,0.019552661994313936,,,31
26,31,jerk,int8_jerkhard,1,1.0,1,1,1,-1,41.08533084393886,0.0025357817951701706,0.006441081886270895,0.12244754728757845,0.12465926970404606,5,30
27,31,jerk,int8_jerkhard,1,-1.0,1,1,1,-1,24.031887152357257,0.0050749478534505045,0.00508057003529341,0.2039435361104769,2.042641343402707e-05,5,26
28,31,jerk,int8_jerkhard,0,1.0,1,1,1,-1,29.108218434635063,0.0011687025492414546,0.0022915324510768614,0.17095979113016269,0.04120561579089843,5,24
29,31,jerk,int8_jerkhard,0,-1.0,1,1,1,-1,13.343954004586067,0.012864885685686672,0.0016260542113934017,0.13066252082023266,0.406211789802549,5,39
30,31,jerk,int8_jerkhard,1,1.0,0,0,0,-1,,,,,,,-1
31,31,jerk,int8_jerkhard,1,-1.0,0,0,0,-1,,,,,,,-1
32,31,jerk,int8_jerkhard,0,1.0,1,1,1,-1,36.8724309936249,0.009925213151308324,0.008325679175140942,0.13467620286852433,0.10773837618390081,5,23
33,31,jerk,int8_jerkhard,0,-1.0,1,1,1,-1,2.878306791908088,0.009995923038505009,0.005487881944247326,0.13219788935083288,0.2454064563857261,5,30
34,31,jerk,int8_jerkhard,1,1.0,1,0,0,-1,12.22835026069771,0.025815673994110583,,0.025973211620927028,,,33
35,31,jerk,int8_jerkhard,1,-1.0,1,1,1,-1,44.77092523206559,0.0017209229704458705,0.0029826572959323833,0.20298870001687308,-2.452035466848912e-05,5,24
36,31,jerk,int8_jerkhard,0,1.0,1,1,1,-1,30.972757007036705,0.009018777043476587,0.008687123439393912,0.103455458201834,0.05100997328031198,5,26
37,31,jerk,int8_jerkhard,0,-1.0,1,1,1,-1,33.1353511047492,0.00905881959608013,0.008956584459883425,0.1328315772085783,0.23628731589126595,5,24
38,31,jerk,int8_jerkhard,1,1.0,1,1,1,-1,43.4378963245797,0.018309648619436226,0.022282217266184817,0.1276771327754842,0.6157642331531594,5,28
39,31,jerk,int8_jerkhard,1,-1.0,1,1,1,-1,7.146990969208247,0.001103084178075815,0.0009793105821912119,0.14045526745655745,0.6677926868478266,5,27
