res_x,res_y,res_z,res_norm,reproj,area_px,obliq_deg,cam_range,gripper_perp,gripper_dz,cx,cy,obj_yaw,det_x,det_y,det_z
-0.023691423114155785,-6.667162045922992e-05,-0.0026060134358557585,0.02383441378147972,0.05946622043848038,371.0,41.97077825106481,0.34743905053499036,0.09360193783294346,0.15963859025786142,237.0,35.5,0.5145461255093174,0.17433920487246202,-0.22590131006557831,0.8476060134358558
-0.01569881266588849,0.0044938981886910034,-0.0012015652178682945,0.0163735029551337,0.12991027534008026,399.0,37.82729627604201,0.35899856637979893,0.07006531100553857,0.18529411453566202,286.0,154.75,-0.5036754433307052,0.024081830206190924,-0.2934771646237769,0.8462015652178684
-0.02314188768423861,-0.005447042235532981,-0.0031551887478529217,0.023982753193496624,0.17549681663513184,375.0,36.54711135396458,0.32613501262945604,0.09176226117029651,0.16055235785833888,154.0,32.75,-1.6605542027699143,0.17866628358962747,-0.0917327387460981,0.848155188747853
-0.017639037622230708,-0.002460537562184062,-0.007285430756973965,0.019242333399254137,0.062176063656806946,488.0,33.26354701746858,0.28204975365340945,0.08103631743842118,0.14438469211571137,233.5,80.5,-0.8968202761887387,0.0770876027637464,-0.20810772110163106,0.852285430756974
-0.01758744557845085,0.001581521308079148,-0.0022752738314547605,0.017804390543654718,0.1546872854232788,455.5,31.003364565095332,0.3033256600446431,0.07226258081152935,0.15945210605695004,253.75,116.5,-2.1044164213183967,0.04985471362999083,-0.22915322118927503,0.8472752738314548
-0.025556877360125713,-0.002172127743863911,0.0009519232157144675,0.025666676394593548,0.15971551835536957,374.0,31.567484985262244,0.3252359600836496,0.08890540587778903,0.16316732968266112,185.0,43.25,-1.3605397199007996,0.17078734346137872,-0.1773108021203706,0.8440480767842856
-0.0231491209399802,0.0032159353868844165,-0.00249838602106367,0.02350459472989678,0.13445191085338593,323.0,43.55890558084148,0.37971482398286,0.09176271034903448,0.17203152547102551,264.0,52.25,2.041292367702809,0.18826935956043264,-0.2780485973564653,0.8474983860210638
-0.018496924687873575,-0.0007648652917722487,-0.006911890854765068,0.01976095840316481,0.10001321882009506,539.0,35.95771720665052,0.3019543829302616,0.08693391418947823,0.1403707889855803,268.25,76.0,-2.9569638218429115,0.08789501946240044,-0.23519530396466584,0.8519118908547652
-0.024423165325398233,-0.005454864403104068,-0.003854266883756119,0.025319990588055234,0.06271278113126755,330.0,42.40196241837935,0.35129218415291,0.09503200012706775,0.16142535549479553,157.5,19.0,-2.767930930430367,0.2299022285982715,-0.08777029465153426,0.8488542668837562
-0.02234168043995058,-0.004831342414089335,-0.005080968945745945,0.02341599453003616,0.21567387878894806,461.0,36.39747073238008,0.3068348985050572,0.09408447733279199,0.143462496263014,175.25,24.25,-0.21806071866807147,0.16604513717088337,-0.10234850193934589,0.850080968945746
-0.021683776040124808,3.350038916616338e-05,-0.0027275372544758314,0.02185467284378603,0.16727280616760254,354.5,39.57203799435405,0.33970226152319455,0.0881004307483053,0.16630307315818915,239.5,58.25,-1.8317738390850469,0.16045453665574375,-0.23723718939480753,0.8477275372544759
-0.019369330022590295,0.003050665725764179,-0.0014987718177745801,0.019665294908953825,0.04992961511015892,468.0,34.932843885861914,0.3161151673626506,0.08384458810670772,0.15424902645861394,266.0,86.0,1.4167528049668887,0.07958790531182684,-0.2567869080503284,0.8464987718177747
-0.015727415517235582,-0.0021769205360822608,-0.006615857108879131,0.017200585663206525,0.10279851406812668,452.5,28.02318763163075,0.27983936018110356,0.06270694989019147,0.15778845185603685,227.5,124.75,2.1189476808523833,0.016375056647865677,-0.22310951386464103,0.8516158571088792
-0.02027410479020328,0.008118094114238306,0.006451911940615007,0.022772130879239752,0.07593153417110443,377.0,31.92328125253091,0.35016012773849725,0.07868387142350265,0.183954005549814,266.0,103.5,0.22826016532566423,0.08853943282657752,-0.27806050612080707,0.8385480880593851
-0.03316696302670802,0.008946986597384743,0.006777040344489338,0.03501462953423376,0.044154465198516846,273.0,45.560942832295616,0.4245453541420888,0.09631270917299233,0.18571464474101618,256.0,26.5,1.986447895886099,0.24727598697948583,-0.2810719056606554,0.8382229596555107
-0.018596022422553135,0.0004508420377681843,-0.003701721781520506,0.018966234540121592,0.2083236426115036,444.0,30.094342148468062,0.3030080267057708,0.07769601850243876,0.15849865095988125,243.75,94.25,0.3782719074748783,0.06982329512110742,-0.2153972520668527,0.8487017217815206
-0.01704051072929491,-0.0008105334369512551,-0.007560835346234973,0.018660176888242702,0.061858199536800385,408.0,38.13802315041861,0.32189230911220995,0.08054970563716798,0.16160180533552126,263.0,95.0,2.8874369596319065,0.06985342757465883,-0.2864828330829554,0.8525608353462351
-0.025744858440240104,-7.048677602486397e-05,-0.0011307049623752174,0.025769772956033908,0.21193420886993408,348.5,40.469427516142375,0.359672617426814,0.09496088905560103,0.16772282908493008,219.75,24.75,0.18838946333651976,0.20863029124797275,-0.2176764154315273,0.8461307049623753
-0.025010000112121622,0.0036975271602088244,-0.0014640182940190982,0.02532420111817998,0.34087035059928894,317.5,45.68177730952807,0.37912574998826315,0.09405869307825611,0.16399630197161452,255.25,38.0,-2.8874395559954635,0.20669165731489228,-0.29359926997692637,0.8464640182940192
-0.015268711963667008,0.0026700175645433255,-0.0053323488521503926,0.016391964589561176,0.19879817962646484,453.0,40.781258878753015,0.34729001890528544,0.0775193179862761,0.16236099372472113,301.0,138.25,-3.1215739464857655,0.010562549857686492,-0.3282313970859985,0.8503323488521505
-0.019184200413953495,-0.005246385610102711,-0.008943468903070517,0.021806965481534005,0.04890678450465202,452.0,38.21659034098317,0.30816368673522393,0.09457526308789914,0.14696465588846908,159.0,22.0,0.96952178663403,0.16194414574227417,-0.14043143419414775,0.8539434689030706
-0.017273223034028763,-0.003413391502012697,-0.0027913001194255216,0.0178271375124,0.0404985174536705,407.5,21.37895218353292,0.28106605504765175,0.05389688460689845,0.169104681383054,193.5,125.75,-0.806751163532499,0.04489663974287512,-0.1692981641385183,0.8477913001194256
