episode,attempts,success,phase,steps,tag,regrasps,unjams,pose_rejects
51,1,1,DONE_OK,77,fixed_int8_ac,0,0,0
52,1,1,DONE_OK,90,fixed_int8_ac,0,0,0
53,1,1,DONE_OK,43,fixed_int8_ac,0,0,0
54,1,1,DONE_OK,82,fixed_int8_ac,0,0,0
55,1,1,DONE_OK,127,fixed_int8_ac,0,0,0
56,1,1,DONE_OK,115,fixed_int8_ac,0,0,0
57,1,1,DONE_OK,73,fixed_int8_ac,0,0,0
58,2,1,DONE_OK,113,fixed_int8_ac,0,0,0
59,1,1,DONE_OK,102,fixed_int8_ac,0,0,0
60,1,1,DONE_OK,72,fixed_int8_ac,0,0,0
61,1,1,DONE_OK,181,fixed_int8_ac,0,0,0
62,1,1,DONE_OK,58,fixed_int8_ac,0,0,0
63,1,1,DONE_OK,132,fixed_int8_ac,0,0,0
64,1,1,DONE_OK,139,fixed_int8_ac,0,0,0
65,1,1,DONE_OK,94,fixed_int8_ac,0,0,0
66,1,1,DONE_OK,39,fixed_int8_ac,0,0,0
67,1,1,DONE_OK,124,fixed_int8_ac,0,0,0
68,1,0,DONE_FAIL,265,fixed_int8_ac,1,0,0
69,1,1,DONE_OK,113,fixed_int8_ac,0,0,0
70,1,1,DONE_OK,84,fixed_int8_ac,0,0,0
71,1,1,DONE_OK,28,fixed_int8_ac,0,0,0
72,1,1,DONE_OK,118,fixed_int8_ac,0,0,0
73,1,1,DONE_OK,121,fixed_int8_ac,0,0,0
74,1,1,DONE_OK,119,fixed_int8_ac,0,0,0
75,1,1,DONE_OK,51,fixed_int8_ac,0,0,0
76,1,1,DONE_OK,104,fixed_int8_ac,0,0,0
77,1,1,DONE_OK,126,fixed_int8_ac,0,0,0
78,1,1,DONE_OK,114,fixed_int8_ac,0,0,0
79,1,1,DONE_OK,127,fixed_int8_ac,0,0,0
80,1,1,DONE_OK,103,fixed_int8_ac,0,0,0
81,1,1,DONE_OK,53,fixed_int8_ac,0,0,0
82,1,1,DONE_OK,121,fixed_int8_ac,0,0,0
83,1,1,DONE_OK,110,fixed_int8_ac,0,0,0
84,1,1,DONE_OK,96,fixed_int8_ac,0,0,0
85,1,1,DONE_OK,127,fixed_int8_ac,0,0,0
86,1,1,DONE_OK,123,fixed_int8_ac,0,0,0
87,2,1,DONE_OK,125,fixed_int8_ac,0,0,0
88,1,0,DONE_FAIL,300,fixed_int8_ac,0,0,0
89,1,1,DONE_OK,129,fixed_int8_ac,0,0,0
90,3,1,DONE_OK,114,fixed_int8_ac,0,0,0
91,1,1,DONE_OK,136,fixed_int8_ac,0,0,0
92,1,1,DONE_OK,123,fixed_int8_ac,0,0,0
93,1,1,DONE_OK,123,fixed_int8_ac,0,0,0
94,1,1,DONE_OK,118,fixed_int8_ac,0,0,0
95,1,1,DONE_OK,117,fixed_int8_ac,0,0,0
96,1,1,DONE_OK,133,fixed_int8_ac,0,0,0
97,1,1,DONE_OK,137,fixed_int8_ac,0,0,0
98,1,1,DONE_OK,140,fixed_int8_ac,0,0,0
99,1,1,DONE_OK,89,fixed_int8_ac,0,0,0
