episode,seed,profile,tag,axis,sign,grasp_ok,lift_ok,survived,lost_at,diag_deg,off_xy0,drift,rise,margin_hand,joint_hand,grasp_step
34,47,carry,int8_carry,1,1.0,1,1,1,-1,26.658402527826127,0.009790855666872052,0.007342185126503788,0.16024387423893716,0.03696090830511034,5,102
35,47,carry,int8_carry,1,-1.0,1,1,1,-1,30.758532527604558,0.0018806573498484755,0.002202297828162901,0.10685555993862605,-0.00022234323477343665,5,27
36,47,carry,int8_carry,0,1.0,1,1,1,-1,8.708680238258324,0.003917399374248384,0.005541915393214002,0.23887863892941508,-0.00027335543156725706,5,57
37,47,carry,int8_carry,0,-1.0,1,1,1,-1,23.6220934631871,0.01338357566255623,0.01993402681720319,0.20147117092845646,0.0002605207827177658,5,27
38,47,carry,int8_carry,1,1.0,1,1,0,55,7.781761846703475,0.009593094370825388,,0.13246488404436763,0.6364181345989177,5,28
39,47,carry,int8_carry,1,-1.0,0,0,0,-1,,,,,,,-1
40,47,carry,int8_carry,0,1.0,1,1,1,-1,13.00876767444612,0.012747288642549542,0.005724511413944506,0.3110243070379509,-0.0003176736891314924,5,45
41,47,carry,int8_carry,0,-1.0,1,1,1,-1,34.32622348250217,0.01834433145052635,0.012804784600669545,0.1542534422213413,1.0821030291312292,1,29
42,47,carry,int8_carry,1,1.0,1,1,1,-1,27.23091523212568,0.017396894380994246,0.01562073614770738,0.1250947662817149,0.03920556311271506,5,30
43,47,carry,int8_carry,1,-1.0,1,1,1,-1,4.164132586811505,0.011406318024720093,0.003991603086359381,0.135014153092466,1.015721355197792,1,63
