episode,seed,profile,tag,axis,sign,grasp_ok,lift_ok,survived,lost_at,diag_deg,off_xy0,drift,rise,margin_hand,joint_hand,grasp_step
22,307,carry,mono_carry,1,1.0,1,1,1,-1,5.4329929087782745,0.0016104636387779515,0.00096690690184015,0.12546737730727742,0.7488098801488015,5,30
23,307,carry,mono_carry,1,-1.0,1,1,1,-1,19.44609103217212,0.009724302846041404,0.008116495854923966,0.14234326718807833,0.9640775348195122,1,25
24,307,carry,mono_carry,0,1.0,1,1,1,-1,3.6633272305230093,0.003884920419793993,0.0004041737943755839,0.13797405994372225,1.1382743622441072,1,24
25,307,carry,mono_carry,0,-1.0,1,1,1,-1,24.4269161137926,0.004646443795658199,0.004609557440373121,0.13582054992986226,1.0540488780836417,1,29
26,307,carry,mono_carry,1,1.0,1,1,1,-1,11.692164898918122,0.0036540745893987843,0.0036110033641018517,0.1300518114008612,0.6709991543293645,5,26
27,307,carry,mono_carry,1,-1.0,1,1,1,-1,32.77032270107934,0.0036091284112786735,0.001990764828052481,0.1372126154066471,1.1421468703878515,3,48
28,307,carry,mono_carry,0,1.0,1,1,0,44,40.37868263617325,0.007989668161449468,,0.12786465707495154,0.8971075469629146,5,31
29,307,carry,mono_carry,0,-1.0,1,1,1,-1,16.96647236708742,0.007633290891536279,0.005784945086016715,0.14025569185714104,0.940494345462465,3,26
30,307,carry,mono_carry,1,1.0,1,1,1,-1,15.96569043042578,0.0071255062043387805,0.0051655018928813325,0.13923641046268764,1.1203690446188315,1,24
31,307,carry,mono_carry,1,-1.0,1,1,1,-1,15.232124270895884,0.002501590770953878,0.0020316615039275236,0.12304822111461311,0.7372717165014384,5,36
32,307,carry,mono_carry,0,1.0,1,1,1,-1,23.120665412322438,0.016730907711628905,0.005116570471731084,0.13596886715260814,1.03081793600058,3,24
33,307,carry,mono_carry,0,-1.0,1,1,1,-1,32.33482849497881,0.008421406907898122,0.010939423015846331,0.13615543995148227,1.0729176421573607,3,29
34,307,carry,mono_carry,1,1.0,1,1,1,-1,22.607060539637864,0.001553722191844817,0.0017752314434673199,0.12532987669924722,0.7115340308775004,5,28
35,307,carry,mono_carry,1,-1.0,1,1,1,-1,3.906591771175499,0.004334593738323736,0.0033137543225959403,0.1306472491888676,1.0918863796422147,1,28
36,307,carry,mono_carry,0,1.0,1,1,1,-1,37.95017826832398,0.015538543606262084,0.020214858502307996,0.13284731067477384,0.9479400995402014,3,27
37,307,carry,mono_carry,0,-1.0,1,1,1,-1,15.995357261496487,0.00676169232643609,0.0019946777020621895,0.1461705691099825,0.4086358868567532,5,24
38,307,carry,mono_carry,1,1.0,1,1,1,-1,26.50677629619676,0.013236939789822358,0.0064406502799311885,0.1398954915741638,1.0638207301724485,3,20
39,307,carry,mono_carry,1,-1.0,1,1,1,-1,36.91909931919329,0.004193043159208817,0.006963050463729544,0.12932054656676506,0.9451967233610805,5,30
