episode,step,phase,detected,err_mm,dist_eef_obj,grasped
1,84,3,1,17.50880080328844,0.011032598535629127,1
1,87,3,1,16.508865221190632,0.010634327525292787,1
1,90,3,1,19.596491657497143,0.010656174032709237,1
1,93,4,1,26.01954935082603,0.010621867631466836,1
1,96,5,1,17.71401189300205,0.009734213247784024,1
1,99,5,1,17.626144066079963,0.008542950721979423,1
1,102,6,0,,0.06503306703177737,0
1,105,6,0,,0.3048860146633053,0
2,0,0,1,33.70581457397969,0.262167431038767,0
2,3,0,1,23.343694114080236,0.17951120877646445,0
2,6,0,1,23.34375597136443,0.1464563601397434,0
2,9,0,1,23.343755977746525,0.09974139765695267,0
2,12,0,1,23.343755979077866,0.048271515648101955,0
2,15,0,0,,0.014830252196469001,0
2,18,0,0,,0.007463829727390555,1
2,21,0,0,,0.008107386154639379,1
2,24,0,0,,0.007728275295425457,1
2,27,1,0,,0.007236821998449118,1
2,30,1,0,,0.006928784054962014,1
2,33,1,0,,0.006719854041513605,1
2,36,1,0,,0.006532859939837112,1
2,39,1,0,,0.006360482750647052,1
2,42,1,0,,0.0061982296702997475,1
2,45,2,0,,0.006044225901982645,1
2,48,2,0,,0.005895206869753645,1
2,51,2,0,,0.005744434561759052,1
2,54,2,0,,0.005593050285767266,1
2,57,2,0,,0.005472927480142179,1
2,60,2,0,,0.0053809890770326425,1
2,63,2,0,,0.005297782493137283,1
2,66,2,0,,0.005215749850354638,1
2,69,2,0,,0.005145813974112741,1
2,72,2,0,,0.005083434357704611,1
2,75,2,0,,0.005027197027769834,1
2,78,2,0,,0.00498049030769398,1
2,81,2,0,,0.004943768581729963,1
2,84,2,0,,0.0049155216250829315,1
2,87,2,0,,0.0048924559588866615,1
2,90,2,0,,0.004873340268902969,1
2,93,2,0,,0.004857196644358231,1
2,96,3,0,,0.004844409851547008,1
2,99,3,0,,0.004828406225205176,1
2,102,3,0,,0.0048164024197370585,1
2,105,3,0,,0.004803532746105974,1
2,108,3,0,,0.004779039748139106,1
2,111,3,0,,0.004744979266146184,1
2,114,3,0,,0.004710116531054581,1
2,117,3,0,,0.004677029605168586,1
2,120,3,0,,0.00464623872531536,1
2,123,5,0,,0.004617668320046006,1
2,126,5,0,,0.0038504725385331597,1
2,129,5,0,,0.0021838804442464617,1
2,132,6,0,,0.031092602855429693,0
2,135,6,0,,0.23590741254003544,0
2,138,6,0,,0.6346180271404936,0
3,0,0,1,30.616037984804542,0.39586928718115083,0
3,3,0,1,24.59939926959598,0.2863310060697916,0
3,6,0,1,24.599721239188515,0.21227646125983102,0
3,9,0,1,24.599721270264798,0.1626783343948498,0
3,12,0,1,24.59972127504143,0.09791717006334026,0
3,15,0,1,24.599721279838498,0.04322589330416025,0
3,18,0,0,,0.004224928447045808,0
3,21,0,0,,0.007814912460475266,0
3,24,0,0,,0.008501018843389272,1
