drop_step,drop_x,drop_y,drop_z,end_grasped,episode,in_spawn_box,joint_end,margin_10_before,margin_20_before,margin_40_before,margin_5_before,margin_end,margin_min,n_transport_entries,pinned_run_0.02,pinned_run_0.05,regrabbed,regrasps,steps,steps_left,success,tag,tr_len,warn_steps_0.02,warn_steps_0.05
,,,,0,13,,6,0.015282784663245508,nan,nan,-0.0005106531454481811,-4.562876187419462e-05,-0.007433158589283284,1,7,15,,0,50,,1,int8,15,7,-1
,,,,0,14,,5,nan,nan,nan,0.08827769598559776,0.4325293890523736,0.021244291136417903,1,0,0,,0,82,,1,int8,8,0,0
,,,,0,15,,6,0.7316099826228037,0.931575203865998,0.8141849551483265,0.674003688067589,0.3781317283165819,0.33923415557965386,1,0,0,,0,141,,1,int8,70,0,0
,,,,0,16,,5,0.3148967729210579,nan,nan,0.4348627178772895,0.7957915846149386,0.3148967729210579,1,0,0,,0,47,,1,int8,10,0,0
,,,,1,17,,5,-0.000362498318927873,-0.00036249304613589217,-0.0003624863595610428,-0.00036250079816069203,-0.00036250318938035875,-0.0028952043272658656,1,276,277,,0,300,,0,int8,300,276,277
,,,,1,18,,5,-0.0004075468041673247,-0.0004074449447406536,-0.00040732096311391075,-0.00040735069135022783,-0.00040757038207672736,-0.0004109159973819665,1,300,300,,0,300,,0,int8,300,-1,-1
,,,,0,19,,3,0.2616953339032728,nan,nan,-0.030851937582463733,-9.149222800680645e-06,-0.030851937582463733,1,5,6,,0,67,,0,int8,15,5,6
,,,,0,20,,5,0.12088475983392044,nan,nan,0.24680774966471875,0.523954031519779,0.030966646462609937,1,0,0,,0,88,,1,int8,15,0,0
9,0.08429551124572754,-0.09266439825296402,1.006301760673523,0,21,1,1,0.006080868260240693,0.754309566197783,0.22747010373873477,0.02026032122098724,-0.00046772922972038167,-0.0028310483592464825,2,0,0,1,2,388,312,0,int8,58,0,0
,,,,0,22,,3,0.30537227796367006,0.6438355756971934,0.694412027802656,0.21886270156051993,0.025235702887562536,0.03223033003018516,1,0,0,,0,100,,1,int8,61,0,0
,,,,0,23,,5,nan,nan,nan,nan,0.06352997432122542,-0.0003064204879348331,1,4,4,,0,68,,1,int8,4,-1,-1
,,,,1,24,,5,-0.0003892877058579991,-0.0003893002788828426,-0.0003893387722375685,-0.0003892067098623109,-0.000389276878405731,-0.006855770939436123,1,275,276,,0,300,,0,int8,300,275,276
,,,,0,25,,5,nan,nan,nan,0.024053959402260183,0.49504414608945435,-8.376443543056666e-05,1,0,0,,0,50,,1,int8,7,0,0
,,,,0,26,,5,-0.00020209370071100352,nan,nan,0.08022692095586148,0.45428587248434216,-0.00020209370071100352,1,0,0,,0,62,,0,int8,10,0,0
,,,,0,27,,3,1.0930652629044784,1.1236014143961965,0.9237454268432046,0.9504922869371798,0.4005226279219004,0.5496559036146444,1,0,0,,0,78,,1,int8,55,0,0
,,,,0,28,,6,0.5348367712523263,nan,nan,0.6362924510824608,0.7731568200259051,0.5223316255392643,1,0,0,,0,74,,1,int8,11,0,0
,,,,0,29,,3,0.8283335923355426,0.759801738901805,0.13702748639679063,0.6887170830770595,0.6852923014106405,0.13702748639679063,1,0,0,,0,88,,1,int8,40,0,0
,,,,0,30,,1,1.1808604563205756,1.1818499302943386,1.0060601577824393,1.1937624529399933,0.9992849664774862,0.8198076868702739,1,0,0,,0,111,,1,int8,49,0,0
,,,,0,31,,5,0.8684908502436532,0.7135884453522463,nan,1.0019177295957582,1.2081103785276572,0.6002548686933498,1,0,0,,0,87,,1,int8,26,0,0
24,0.189644455909729,-0.06711506843566895,1.2162809371948242,0,32,1,1,0.8848446889581942,0.7440556671042278,nan,1.028804423306715,-0.0007212990775959938,0.5497493876295954,1,0,0,0,1,279,421,0,int8,29,0,0
,,,,0,33,,5,0.029678095283582007,nan,nan,0.17036771575884124,0.446816240975779,0.001364727187652015,1,0,0,,0,91,,1,int8,12,0,0
