reach,grip_close,idle,drop,away,grasp_hold,success_bonus,partial_credit,align_shape,dense_align,builtin,n_drops,n_grasped_steps,_align,_rise,_certified,_steps,_total,_disc,outcome
0.0,0.0,-9.600000000000003,0.0,0.0,0.0,150.0,0.0,0.0,0.0,58.90875703020955,0,8,0.8229015890624933,0.07481938655376652,1,24,199.30875703020953,167.38195275200846,CERTIFIED
0.0,0.0,-10.000000000000004,0.0,0.0,0.0,150.0,0.0,0.0,0.0,60.9029664210286,0,8,0.7303038460570868,0.14404772029028567,1,25,200.9029664210286,167.46649264119517,CERTIFIED
0.0,0.0,-9.600000000000003,0.0,0.0,0.0,150.0,0.0,0.0,0.0,58.37764968880228,0,8,0.7231630369300117,0.13650337018466874,1,24,198.77764968880228,166.89175602123098,CERTIFIED
0.0,0.0,-8.000000000000002,0.0,0.0,0.0,150.0,0.0,0.0,0.0,58.369796213048964,0,8,0.5583672523885456,0.1421792241618829,1,20,200.36979621304897,173.87317964681463,CERTIFIED
0.0,0.0,-11.200000000000005,-5.0,0.0,0.0,150.0,0.0,0.0,0.0,61.148515482402345,1,9,0.33668514287550255,0.15048156431291337,1,28,194.94851548240234,162.64376153354394,CERTIFIED
0.0,0.0,-11.200000000000005,0.0,0.0,0.0,150.0,0.0,0.0,0.0,58.545408080029766,0,8,0.5572933998617664,0.18252783578923304,1,28,197.34540808002976,160.3559779599739,CERTIFIED
0.0,0.0,-9.200000000000003,0.0,0.0,0.0,150.0,0.0,0.0,0.0,57.66926776466522,0,8,0.8180849276089096,0.20003745292459651,1,23,198.46926776466523,167.95469922819967,CERTIFIED
0.0,0.0,-8.000000000000002,0.0,0.0,0.0,150.0,0.0,0.0,0.0,58.35977561871036,0,8,0.5716465754360613,0.12282452818071787,1,20,200.35977561871036,173.84537884403403,CERTIFIED
0.0,0.0,-10.000000000000004,0.0,0.0,0.0,150.0,0.0,0.0,0.0,57.45536237689562,0,8,0.8693629824576129,0.18121908636885908,1,25,197.4553623768956,164.37128972460349,CERTIFIED
0.0,0.0,-12.000000000000005,0.0,0.0,0.0,150.0,0.0,0.0,0.0,58.390653072896264,0,8,0.14644278168634506,0.266851126754461,1,30,196.39065307289627,156.88226570065066,CERTIFIED
